Слово,Частота,Частота (в %)
вопрос,52,"0,023%"
го,52,"0,023%"
дальше,52,"0,023%"
взгляд,52,"0,023%"
свете,52,"0,023%"
желая,52,"0,023%"
николая,52,"0,023%"
такие,52,"0,023%"
наполеон,51,"0,022%"
сколько,51,"0,022%"
могли,51,"0,022%"
вид,51,"0,022%"
штаб,51,"0,022%"
понял,51,"0,022%"
встал,50,"0,022%"
сторон,50,"0,022%"
петербурге,50,"0,022%"
марьи,50,"0,022%"
говорю,50,"0,022%"
вами,50,"0,022%"
рад,50,"0,022%"
понимаю,50,"0,022%"
вечера,50,"0,022%"
оглянулся,50,"0,022%"
почему,50,"0,022%"
которому,50,"0,022%"
сиятельство,49,"0,021%"
женщины,49,"0,021%"
сидела,49,"0,021%"
наш,49,"0,021%"
платье,49,"0,021%"
хотелось,49,"0,021%"
ними,49,"0,021%"
лошадей,49,"0,021%"
таки,49,"0,021%"
государю,49,"0,021%"
зная,49,"0,021%"
звуки,49,"0,021%"
радостно,49,"0,021%"
me,48,"0,021%"
понять,48,"0,021%"
правда,48,"0,021%"
лет,48,"0,021%"
вокруг,48,"0,021%"
любовь,48,"0,021%"
chere,48,"0,021%"
смотрели,48,"0,021%"
маленькая,48,"0,021%"
адъютант,47,"0,021%"
бывает,47,"0,021%"
заметил,47,"0,021%"
tout,47,"0,021%"
верно,47,"0,021%"
душе,47,"0,021%"
поспешно,47,"0,021%"
сюда,47,"0,021%"
собою,47,"0,021%"
смотрела,47,"0,021%"
вышла,47,"0,021%"
отвечала,46,"0,020%"
каким,46,"0,020%"
дом,46,"0,020%"
самого,46,"0,020%"
нею,46,"0,020%"
оба,46,"0,020%"
сел,46,"0,020%"
plus,46,"0,020%"
пока,46,"0,020%"
гостиную,46,"0,020%"
сердито,46,"0,020%"
сражения,46,"0,020%"
мало,45,"0,020%"
ближе,45,"0,020%"
дочери,45,"0,020%"
мост,45,"0,020%"
спросила,45,"0,020%"
чуть,45,"0,020%"
имел,45,"0,020%"
полковой,45,"0,020%"
слезы,45,"0,020%"
молодого,45,"0,020%"
взглянул,45,"0,020%"
положение,45,"0,020%"
обеда,45,"0,020%"
мама,44,"0,019%"
т,44,"0,019%"
гусар,44,"0,019%"
узнал,44,"0,019%"
боже,44,"0,019%"
comme,44,"0,019%"
хоть,44,"0,019%"
ожидая,44,"0,019%"
деньги,44,"0,019%"
илья,44,"0,019%"
старого,44,"0,019%"
слышал,44,"0,019%"
шопотом,44,"0,019%"
деле,44,"0,019%"
послышался,44,"0,019%"
